electrolyte_type,electrolyte_thickness_um,c_rate,temperature_c,pressure_mpa,cycle_number,capacity_retention,interfacial_resistance_ohm
Sulfide,145.25490131538646,1.729443173100388,54.13710381035402,2.0081607214024477,119,81.22132051743101,440.1623860352792
Sulfide,87.47419641684134,2.248561299493758,50.47366048077172,3.094789207478975,1839,54.85809039316921,450.0
Sulfide,108.08049476966391,2.019394905423516,58.3929962040708,1.4045317971106566,302,62.32295739105549,450.0
Polymer,60.542301529194816,1.131036411740822,33.89453304728748,3.891373409536702,1309,58.17318425382221,278.0134508359968
Polymer,120.61887915985913,2.4456897631973393,46.369864692297575,2.1161215471204464,227,62.89513781803964,450.0
Polymer,120.47979264389497,0.9546339726680311,28.5355328518892,6.475579740941687,1531,58.33360474404928,251.4873336618926
Oxide,87.76848619503807,1.7565174614794,19.21841190098469,9.945600531783532,1525,59.61942660547738,325.0752742911656
Polymer,146.88179702629776,2.2616534435104647,32.15379664667244,0.218890714534215,1236,55.660787174325044,450.0
Oxide,36.32152791914494,1.1989721384562722,18.287450769422744,5.455106151544257,356,88.11068607580292,87.3265819697808
Oxide,22.20319643564553,0.9780260620905326,59.102231139319194,5.779299315735196,701,69.89763432087454,293.05453475748703
Polymer,120.12056752842248,1.4321034295011859,14.812324557035819,9.150667017840037,487,60.6683390353174,343.8449309194359
Oxide,124.93021985743474,2.4720941336125453,39.460586172631025,5.109452814192681,1345,65.4018444519538,287.72158979520026
Polymer,35.626939785674914,2.796773113122428,41.323192762702796,5.482644054484683,1687,55.9766370855202,450.0
Polymer,54.52576828461879,1.6807418972936814,36.90397714370271,4.769362733151047,223,81.632732740976,150.40355038234154
Sulfide,22.28180723766176,2.0182519954385905,43.10929428559168,2.762152615158666,1664,55.07485903119419,450.0
Polymer,58.13011940147341,2.719493504492851,15.809038750594548,0.6546884191642454,1784,55.75379260406997,450.0
Sulfide,120.5084436094273,0.385785869097533,37.75092621026455,4.145711053877378,1587,68.00319179843837,150.9708974512917
Polymer,87.33486860263527,0.7730278758118786,24.360628556368077,0.6206555652827175,1215,55.47498107293102,450.0
Polymer,65.25242711187745,2.155810018129589,57.00880316505283,5.549875447712586,995,55.83511750079795,450.0
Sulfide,68.32610833782294,2.488858939545669,48.10358267198629,3.142207068098702,500,62.276337375224934,450.0
Sulfide,20.17597134301086,2.585384182158676,58.62572410798713,5.382663775101736,1519,55.32128952312164,450.0
Polymer,58.974068583480665,1.3038108128793047,11.877803487009476,1.4295399475123483,1261,55.769914397798864,450.0
Oxide,104.03963641293096,0.35908571664641387,24.256658759035435,9.33303666081966,1046,77.0779592127059,127.96708290709117
Sulfide,146.6452776961264,1.3695662841688978,19.77112933191745,8.955760311144356,1646,57.61787492937437,287.9438986773859
Oxide,130.11790750790692,0.769130311600456,10.557729365591525,1.9809654411026167,1351,61.98912772747965,450.0
Oxide,23.067345403918786,0.9444697194902101,22.116286512316073,3.500098404610698,1569,64.7602606244773,275.76803383582956
Oxide,136.81287860772912,2.339575914828767,43.93879917602145,6.173578441334598,1151,66.47182519271524,301.34861671072804
Sulfide,121.81579372882138,0.3190285494750719,21.554446106728427,1.047293452328472,365,77.0215268923737,327.891743300684
Oxide,121.44889606422745,2.4999855306940364,35.45017227413091,3.6102214290498935,1892,59.99448807013792,419.07284043043626
Sulfide,79.5394486704643,1.3402403488900902,54.390905748249935,2.5860116395081607,1068,55.86298710083931,450.0
Oxide,71.74068808408536,1.8285854001917257,44.68789601745376,9.163615614295297,519,74.8604677056411,232.57315337102477
Polymer,59.37904474831504,0.35999147058346914,29.731453495301597,8.539855299263131,1152,60.951674358062455,222.55531764297191
Polymer,28.54033166406755,1.0783413272361109,28.623446945605416,5.840344138541951,1627,56.29945812474368,261.0970966530534
Sulfide,49.67059725418088,0.36013266514305275,32.786790700424234,5.251428735028584,1154,73.74829296372374,118.891591297649
Polymer,52.058472547143204,2.8884767963552176,18.852072052995318,9.314185365999432,529,56.63843828767238,450.0
Polymer,82.93001906232621,2.441058783046126,41.700038370799405,9.331035051490272,1345,54.78885298188025,450.0
Oxide,117.16777285757021,1.4329349876337347,28.207640955230275,9.696368240981439,186,93.09847857170953,67.13404693837859
Sulfide,81.59527769173306,0.7484473901386461,52.618267463102185,1.3412509526710579,1646,55.15054798291765,450.0
Oxide,27.519778428130877,2.8070198052245714,47.82763300289081,1.6895223265553854,798,56.671538022997865,450.0
Oxide,144.5126741284665,1.0993301276082181,40.52565820460801,6.7996933169308775,982,75.85947247338557,155.28437125397792
Oxide,142.55416148223458,0.5668548518933868,28.210111132475802,5.4602013184374645,348,93.44347075837685,52.13809019117447
Oxide,122.07464060929308,1.7331767265164693,20.49659158367422,0.28281245844303604,1505,56.749843536749786,450.0
Oxide,148.87262720334869,2.8369449489999665,48.807593205281144,0.7135528562962418,922,54.698524084716944,450.0
Oxide,90.78270326403418,0.11110784245093547,34.320454949554325,8.891995784362171,1699,71.26255885893752,148.6756734779165
Oxide,145.1598855329168,0.7905620454365964,21.237501908867877,8.701820875839925,1983,65.34757711180748,224.35097782225316
Sulfide,29.8286552801776,2.8214981571901823,19.75873075200031,3.6369821277608474,1611,55.28680776798881,450.0
Polymer,67.53849727397827,0.5961493038857699,18.270045225067953,8.921401107612294,1735,55.86734030370862,292.46265716113913
Oxide,49.299564840879555,0.4284060097554776,48.85805981027975,5.977383236539228,1948,65.78772440838233,222.0489789600299
Oxide,45.45830093745511,1.753542925819433,21.449359265015588,8.078465905487128,921,69.27801295443967,236.77716596045656
Oxide,38.30438335604789,2.5993470875550067,36.332113176259874,4.331567604486121,957,68.62748801542982,254.07053791170782
Oxide,100.91377340357957,1.483618471312386,32.57731804865283,1.2226434407145965,361,81.3826634199081,348.88447612727987
Oxide,121.57184124714966,2.984236344385122,38.980544961414196,4.393897920195561,1311,63.64815438211778,335.2680432926708
Oxide,95.17879192464689,2.0695979286601793,53.85774501855971,4.627268000169289,182,88.96090852323978,130.98745697922254
Polymer,39.105152246467256,0.31481723091029845,53.38736950408653,5.554347519021969,1475,55.73061237717375,340.9118130482234
Polymer,125.44609009135122,2.9792131818777285,32.55380359124298,1.1452688577538372,97,76.77981371541706,450.0
Oxide,102.6741119312847,1.2828932866625522,10.768312536736165,9.914878444191153,563,74.43234080386408,251.84359748326347
Polymer,70.46154179650941,0.9334673481518992,31.32219028571516,2.516954525988373,314,73.74528929748335,303.7325402870012
Sulfide,107.63693841968818,1.7178496323758683,40.30967687120702,2.06566879501722,1570,55.31102578780317,450.0
Oxide,53.78764730156827,0.9824920162805064,37.88823795490309,5.315348896673772,955,79.10436963825873,126.98849606976127
Sulfide,64.87498710424737,0.3507267706484417,42.56680529001027,5.418360976009398,21,99.67417250401117,13.375804075409624
Sulfide,139.27315960715873,0.10414219492961249,17.703786623654175,4.4542253045491185,1720,66.12893706156767,154.58851001667028
Oxide,57.76558573728465,1.4037917234687607,42.326754939036626,7.7417322486200195,805,73.69278871598364,200.86522945502657
Polymer,81.09847486053175,2.5269039244571174,19.132580937188614,5.214878567213167,576,60.891594613178434,337.50368213817353
Sulfide,135.7183478614819,1.759714038327222,47.52619903483745,6.135985005935343,1521,57.904490214094636,365.5444144218533
Oxide,112.00377553477857,2.9977011669359785,26.954380663134,7.265089215537077,403,81.73658707165583,175.93726921713846
Sulfide,28.08641940141136,0.9318552723768798,45.494771669072676,0.34774850548227954,1148,55.14126372789056,450.0
Sulfide,39.149395756266145,0.9133196878041604,12.393279945305355,5.749377407195944,613,73.3850176169739,180.16208297199503
Sulfide,21.019406800349188,0.5632734346784382,30.39300127954567,8.853525265160856,1143,64.75556267654223,185.20572943646837
Sulfide,102.01983272979125,0.575784405969472,45.25172611316664,0.2721485549617957,1877,54.94785046146077,450.0
Polymer,78.19754530335439,0.9270411284291386,21.343525816574704,4.1113028276295145,1614,57.19305957359096,271.2294767451142
Sulfide,37.45573061729582,2.399236131293229,49.764352239861125,9.269651757037717,970,55.79481804297272,450.0
Sulfide,144.53143573738015,2.7266946928456988,41.5389866552466,3.5962285825971243,693,63.738201303619554,430.43826108454886
Sulfide,88.85576411293059,2.9277527921522757,39.378088607489914,4.641415359582385,1735,56.3909960730855,408.71124710148445
Polymer,51.4461282346756,0.7736399968797126,27.677442710216855,9.817259791138696,1501,57.22278973463186,289.04727923425673
Sulfide,85.07846425011198,2.655762882280866,34.12257351905588,2.073306203610681,959,56.877799444137025,450.0
Sulfide,108.35064325556401,1.0519397589042774,39.867465048892655,0.7460263723375589,872,58.65675875784392,450.0
Polymer,29.911098336563384,0.42723757909896476,33.62310569574453,8.608283649526912,1726,56.61331470519404,262.99902383474995
Polymer,55.71149595622596,2.6230722840084804,44.915666197028,8.697806878002448,840,55.5662896792318,450.0
Polymer,124.90551381491917,1.944706340466494,31.68484665534798,4.773570563332131,103,90.08403031130376,95.05107226818998
Sulfide,79.75643315234596,0.577719598635079,20.113659087101517,5.190651027325134,333,87.42728895798216,63.232344225327914
Polymer,91.05502846419834,1.3465106467877075,20.696689140052364,8.374483059216576,1902,55.92186011190642,353.03276006602397
Polymer,76.266080287231,0.9330473151434961,10.290188442147056,7.411739031346372,1811,54.97541134603294,403.26736739195627
Sulfide,25.706992543590665,2.2367042492595712,25.047885777933622,2.7249751219484057,1483,54.733307279028665,450.0
Polymer,41.54747137662027,1.4149070688103773,47.44588202392598,0.26724421520803276,1154,54.57114634419838,450.0
Sulfide,77.92041303644581,2.9689118408085164,49.70813544188048,4.849031609082103,753,59.19789401492655,450.0
Oxide,47.194110503030615,0.2587604485528259,20.1233771047875,8.60323202834685,134,96.14006809470654,43.171784509556
Polymer,26.497273725758234,1.1295442717951154,57.952199843570384,8.968763299232606,1181,55.7461363483748,450.0
Oxide,129.67445632673707,1.4975104846189344,35.12013967400634,9.566639351053924,425,84.48068894081628,127.11360207319899
Sulfide,147.55502879133508,1.5590873087701274,55.848937450925135,8.807676052366533,1459,55.23103085762861,450.0
Polymer,123.10857361957613,1.0162138849183466,45.338264093081555,5.842431197451174,1413,56.67444655361997,317.79464775930626
Sulfide,130.9920398216067,2.2147967223829474,46.12167115112065,4.501595432437399,937,61.12542795605813,340.37102025934087
Oxide,51.4570269412159,2.636766513118027,14.252181065303557,7.77101348068758,1342,59.11731609830316,450.0
Sulfide,144.88150681671596,2.8222859757358028,20.999556344846532,7.424234180219405,1694,56.51667241733367,432.02569141764855
Polymer,45.60034157894569,2.434770792718626,10.440741664723632,5.427619957806399,505,58.00202150618358,450.0
Polymer,143.68587534703818,2.5666825721891384,45.806382023836875,0.9645409883288443,871,54.97555389690502,450.0
Oxide,149.32650821557363,1.696581371797987,27.2219144214255,9.268205333190496,190,92.36889650997605,76.5596381767922
Sulfide,112.52396474698634,2.4950758566377624,49.332625803817336,4.610465121266455,612,65.48116445111938,357.3699018004372
Polymer,147.54868513293684,0.9801613365290613,26.946810996851312,3.6970044409710168,1435,58.8907607548806,295.9211618861115
Oxide,94.04017134372347,1.2555884101167218,50.966687614943055,6.33271721217084,1970,59.8245148981862,344.1437647895092
Polymer,53.74043181289174,1.0190477400737785,16.53491268741565,6.770995815553071,52,95.0014347868026,73.75275804827831
Polymer,76.80946513653072,1.4554232727989838,18.668657837875408,2.1858103785999843,1585,54.54982760889435,450.0
Sulfide,97.16292159924217,0.9281808870920454,27.043826979196826,8.385694563618566,1470,63.16144295282147,210.57244887937156
Polymer,29.50060306351195,2.8886731825378957,30.424369444113665,2.970377227257541,612,56.067016526442174,450.0
Sulfide,100.90462440024199,1.0072494212164376,27.43514054214892,1.9481708665517354,1468,58.28145135865658,450.0
Polymer,147.55311877909827,0.3843291605217255,48.182351626160994,4.123358543259524,1406,57.82547780187505,281.673501278764
Oxide,44.71399447188459,1.627769781546199,14.847569631335736,7.332544800884906,1787,59.753478121257764,343.67931897353884
Polymer,123.03736511748983,0.26558732749101144,27.560850981924403,9.658035966554054,374,76.64968172200757,139.6222647719749
Sulfide,138.0268431913505,0.42057518229488355,51.86199997577297,8.111884517277188,2000,57.37034326406616,327.82506689374355
Sulfide,142.6812070666287,0.7362292286691142,13.3398538631086,9.409448938934899,1590,57.861868640539576,316.4445521283528
Oxide,144.81762857270814,1.446615724658211,57.11717538356787,1.4919974603576154,375,69.29288928444299,450.0
Polymer,87.78975303379136,1.356427703696181,59.315842113600645,0.8046503087504001,389,55.91927174067613,450.0
Polymer,147.05002803889548,2.4191063998080944,14.428408691254004,5.621277142876044,1673,54.21457362728408,450.0
Oxide,118.45032692747705,2.2444764962639288,24.56362611278685,2.9739450821359403,674,72.98136751843029,355.7377804488315
Polymer,41.017286710805045,1.3363230525730339,28.62003330176781,8.297744232395802,1890,55.2034787511452,320.39041861684547
Polymer,81.9970138408361,1.0677422019693268,48.8195684326363,6.752679926883028,804,59.44406435654223,339.8439617583515
Sulfide,113.38305279836051,1.017759473778346,39.79634060583669,9.710208823459364,1503,58.090471048260916,282.452997886622
Polymer,52.154241056480835,2.344585753152626,42.218285024628365,2.622444321739912,404,58.17324891389696,450.0
Polymer,103.27997386135536,0.25100997804168224,47.8754911409253,4.9092627321168,593,70.64202308417194,195.98765694235007
Oxide,106.6580622760605,0.1371827835807569,15.898949971851286,5.0622807265109975,1492,74.63086195901055,134.50033547428114
Oxide,41.15096669511357,2.4070787365872794,51.66047284551312,2.4678502690880246,732,59.405211364258314,450.0
Sulfide,93.46109061885832,1.483724490368243,45.2809902090072,5.9419246549312765,1621,58.149592181591046,306.4628185743944
Polymer,120.31149842721901,0.4795553018053703,38.867086259818514,4.4885312621844715,505,75.7592116226095,142.7724179624839
Polymer,84.85643638967245,0.7831412103240536,54.486766739152834,4.522543404299749,83,89.59733720025709,104.75854091417384
Polymer,21.573405180893964,2.8042614639824093,45.01531769419036,3.691092814927588,319,60.798765788054006,450.0
Sulfide,21.175000980307985,2.592558629312204,20.08499813155127,0.2676005890127971,1091,54.97448283459743,450.0
Sulfide,66.41381471610158,2.1583766456495206,31.487269053783336,5.268742845456411,414,79.98671498921533,133.70846271636603
Oxide,140.40522889613166,1.4984531679782471,34.70214334678666,3.4189535734332783,453,84.81776773176097,138.9003394057583
Sulfide,49.72798134846914,1.6089385159550187,12.760881337520281,0.11306670294486379,746,55.06787497786072,450.0
Polymer,102.46727955331933,2.92820915232348,57.731875668002786,3.148642705853127,198,61.65028927799027,450.0
Polymer,48.869863190131674,2.9007342872644326,16.428863039843925,2.8584204975885945,259,61.13327623312122,450.0
Sulfide,61.81709865574132,0.7242802327789194,44.87306336133634,3.995136716913995,1713,60.82188046728458,231.6224225566343
Polymer,130.2454716481929,2.4522032422854227,35.31155180454401,1.40533469746963,298,60.53887659787117,450.0
Polymer,114.75198749509309,0.6720037318843487,11.281612494221129,5.126069863887336,1304,57.85126801755929,320.70664285248085
Sulfide,32.401906050717386,0.719258685863459,56.23737379321808,6.955159489929486,300,79.29626858119556,183.5410144660011
Sulfide,75.73126272823637,2.0606697990772727,52.59184044094666,6.338837133640268,129,87.99215111476873,132.7732603470276
Polymer,23.79206927388438,1.2745031859038904,36.21289639519178,8.057173980934987,498,63.742438662730294,259.2761508590964
Polymer,82.51571905839117,2.8014787806089085,21.44711680697226,4.5748820510721036,1907,54.991736086387945,435.78534626362466
Polymer,106.11642152113885,0.35812823119842563,16.081144534004714,5.23900813036331,438,76.42365795364897,149.53228585096707
Oxide,35.4053410677597,1.5834243583475298,28.16962397160633,8.122979214503935,1716,62.87864459221627,259.1186255931572
Oxide,57.55504205819154,2.7637124382850518,22.771414052304525,4.3342415911104615,1316,65.08784495428101,307.40736465141737
Oxide,71.7187613152804,2.721929615390565,35.334560050314934,7.04583356400601,207,89.49514049893578,102.51188787407067
Sulfide,139.53903320528647,0.5539347189056495,58.32046480617145,4.4025634503081195,294,83.66730295083326,136.34826606617514
Oxide,149.12315200498531,1.1632493302797238,38.747674661482066,4.2355883256644695,1964,68.19698261365428,198.5666270226668
Sulfide,25.83846886943006,1.8954520601354192,54.49655279450489,7.626035682838687,1874,55.19431428945397,450.0
Sulfide,118.93103005440096,0.5622451658370663,42.543941874788864,1.8308854631154907,1711,56.25829708456572,450.0
Oxide,68.32412863230462,2.9072642989326423,33.76232632936002,3.4520011222215787,29,98.68249955616342,41.19207825060118
Oxide,71.0195642098324,2.752773053310215,52.73037813666856,2.319305539794328,179,77.90907050169818,450.0
Oxide,118.05444653511294,0.5841555191999607,33.568405508649874,3.6551884353792117,41,99.29027944093893,30.975990247207665
Polymer,139.39543617890314,0.4513508376568577,53.43140852551805,2.380710741423638,1494,54.906215011734396,450.0
Oxide,143.6207172853313,0.34768460014396935,24.578838478788263,5.836115747757881,1216,81.95229248753891,97.58178682572637
Polymer,95.0259361849817,2.7373866257062303,16.440653688149407,8.001890945916669,344,62.223313225101535,407.8234668575576
Sulfide,66.42575070906537,0.6615090484068362,52.76572321814692,7.887469306057229,1773,56.492277492815774,359.5495742424645
Polymer,122.3813811616413,1.3072262927786287,39.370758189633335,3.7085595490330454,816,61.3050697085478,319.6869779356412
Oxide,52.63017982409903,1.4016689603908088,54.45461991244801,9.888728018353191,1997,55.24899405194833,450.0
Sulfide,93.3296237483573,1.837132028219346,56.89136034961916,5.9791582105874275,737,61.228084975069656,426.6045950994751
Sulfide,66.61519999823352,0.3080324968675324,12.681419518572458,4.054062987605119,626,77.36527817551068,128.90439992085228
Sulfide,105.3620395820239,0.7575999904614962,35.04846509294342,8.371838864490112,278,88.18863078926194,72.06787574562576
Polymer,51.2518586761559,2.8013221220648856,28.748227453726464,7.325752725162144,1379,54.682164140895054,425.11070681714904
Oxide,44.90708294552735,2.7343893110788517,41.29291985350586,7.517825834558634,529,72.903504281186,265.1803835229366
Sulfide,139.3710812678068,2.3657428774765075,49.67955986011618,2.041779562365329,86,85.64046720620766,364.2007390765686
Sulfide,33.2344787834398,0.15626361229282476,24.029510798718448,4.736410642948695,1925,63.93650859455216,153.99929335241129
Sulfide,85.77452800554111,1.0483196286386962,37.83991921865858,8.632098495163568,317,83.8406485287318,104.54492978148866
Polymer,48.710861785191156,1.9210803324944326,45.43642899524498,5.0899762755246964,1881,54.653109293625604,417.20953588695505
Polymer,25.06089523233677,0.8980516141430794,16.7215541417867,6.866182159868398,1926,55.58487974551711,315.3023605179473
Oxide,24.68244637788543,2.7378014156559543,50.703345297563345,5.920543957039219,693,65.44082017865496,405.83940176760115
Polymer,42.77883037375756,1.9382794393140814,40.30547999264866,8.439332198411982,1361,55.31565920640084,415.25756151511223
Sulfide,132.68014608578005,0.3085294802176922,57.47687185568259,2.9171523136398663,863,61.80224140421909,450.0
Oxide,56.722236717013466,2.736116207623539,26.976445956534665,5.797205251075012,1169,67.97861688969797,263.6800381820723
Sulfide,143.55969217478844,2.8775233087110452,15.407297116859933,1.3200232132970595,315,62.797087853429844,450.0
Sulfide,95.61089808859516,0.3253660133360039,35.325060051846265,6.933086689324732,225,92.49041526691529,42.3903359330146
Polymer,76.75984466993958,1.6438446810978133,14.290538585471943,7.34648159969185,1447,55.89848405848131,415.6157667221584
Oxide,95.4115485070291,0.9797564184210943,58.47632616620034,0.5240894797710843,1078,56.38229182566647,450.0
Polymer,87.17079007941481,1.239233321796067,11.934247912859577,6.790330539917052,1918,55.272154908748306,400.31895348913247
Polymer,118.64091298845227,0.6209885320704914,47.6751950553654,4.205432526241284,1968,54.95665772781129,313.1893246294684
Oxide,56.7244885764708,1.7764090958359964,36.2551199071122,1.3285590734858552,1957,55.86119286063009,450.0
Sulfide,65.8965509080393,2.878140124421783,28.431032624914433,4.257084722214829,1840,56.64626054147779,363.3199780151009
Sulfide,136.23225932932257,1.5589105407876662,13.292108225432733,2.0229060039862587,68,91.8867413729673,170.3066627719504
Oxide,143.03934670955272,0.34045228604399536,41.10834620868039,4.214039368020834,1643,74.09129223667065,140.3432835612491
Sulfide,136.0325695732417,1.8980038670844843,39.26101646954776,3.9049563767894244,1358,60.802651911974415,300.85354127387404
Oxide,74.52823921445076,1.0866466839086455,24.04416365337999,7.410077205666969,1021,75.01126672047744,153.76247616743598
Oxide,121.44751539089462,2.5821830498147635,55.511085070515605,7.764734025846952,1101,58.786433264444305,450.0
Polymer,81.92364532914284,1.3605666301177637,25.205500367141845,6.109583678407012,1563,56.505250399673244,285.4188118228841
Oxide,84.68018077899329,0.6592348659325122,32.48627052960531,0.3245997376062307,856,68.81761000473647,450.0
Polymer,46.60841417744692,0.6542063058043203,37.188122795932784,9.31712056280284,1179,56.93357240386962,281.31832030937034
Sulfide,96.84693942360714,2.329416124091365,15.011593908814305,6.893709472954832,1096,58.74822025549709,396.1170095366105
Sulfide,44.19766670793523,0.8702040350913437,56.60808596068161,0.4385349542197695,1525,55.137632887649076,450.0
Sulfide,63.10341087873519,2.3249768430617466,28.726807622552055,8.206445702219767,1471,57.429360969544774,347.778403171728
Sulfide,131.15392621059158,0.6970732012231382,14.038960693717181,2.082634931708162,1716,56.5555632593266,450.0
Polymer,46.91985519741118,1.0328904692337972,29.364558683766496,5.834289776753957,1583,58.228725191644585,254.831714247276
Sulfide,29.250577072546264,1.4499122200751282,40.010127354629034,4.719680262506852,1778,58.23705070277236,274.5788008280477
Oxide,28.97098703966612,2.835267964111007,35.68263359106648,4.256403945315259,1383,62.91926447254869,325.9678146941497
Oxide,142.30198766540403,2.8020211317860917,44.7270987018637,8.908165829231535,1301,57.64044825177273,450.0
Oxide,85.8996569350385,0.6999284387246346,12.774197103395531,4.429876786469886,883,78.43193754749156,149.2620753469576
Polymer,73.22356933621239,1.1388352196049112,24.227030513602806,0.8459067639741923,1337,55.0438726342548,450.0
Sulfide,125.4142155310294,0.5332582265159397,50.961528842005116,9.471723399428031,1129,59.86501172693365,311.9722841516857
Sulfide,128.65737062836706,1.5789567300091416,13.994684389568043,9.213298789272313,971,58.85366533206266,367.00717767868656
Sulfide,63.1848343050286,1.4356893970145332,52.77429773479788,6.875883626857828,1119,58.88022915062365,394.0050636885541
Polymer,110.17034747159337,2.7122044711071243,14.594804603855312,4.732136028507047,1243,55.59646561835048,450.0
Oxide,120.24596606074526,2.7970155955941105,51.72271074458481,1.0193087821408606,1706,55.22833787922054,450.0
Oxide,105.10458929257409,1.212345433921147,28.039420053936333,7.9284063739170145,1902,66.00407594055127,214.4059624249676
Sulfide,39.70735972401292,1.5260400347550693,40.61045316286079,0.8472313527978866,1968,54.87200241126797,450.0
Oxide,133.8648008572174,2.699085122523786,17.64435578239991,0.779149750461942,1819,54.65803722192066,450.0
Oxide,90.08229185568113,2.439452642460678,13.308436086259043,5.420100040149744,1152,64.98647094582306,356.6400962107722
Polymer,56.72141542810048,0.1106033028994829,20.796910201006753,1.6852695778279383,200,78.55633083822589,276.1492409451695
Polymer,75.27966410690021,1.0281727361323894,16.392690895434775,0.17652964666945495,1953,53.929641134396064,450.0
Polymer,24.88424175185796,1.3231453016147652,25.62029488398159,4.288822966858284,332,75.29128727419139,166.91278028073464
Polymer,36.62268415891428,0.7661772226813719,35.71916232555101,1.458450592939653,547,59.553737262173485,450.0
Sulfide,119.52107756706191,0.6787576860982223,39.43797317825047,1.6891026112788434,1890,55.00370119390173,450.0
Polymer,20.001512518197597,0.20957506912747104,49.49340536898715,0.8614153234798131,1680,54.50834421547939,450.0
Oxide,74.15355770269798,1.9657722027023057,42.81199466241793,2.1304281618637386,1316,58.00394536035339,450.0
Sulfide,87.9263235411265,0.8612798424011804,40.43791625647765,7.183293379766455,66,96.20743911100097,27.7550312200992
Oxide,27.1024746001264,0.25180681745080796,30.58910137428873,8.108380341456135,1996,67.92438444593802,163.23519577915337
Oxide,146.50016118640326,0.7698400005313846,33.69042174800693,4.580083075890076,731,86.96991924391578,85.57291105954563
Oxide,49.39629306245735,2.425550463224767,30.726041469509056,5.114882777226035,568,82.0485535811848,151.13404661796199
Polymer,59.545833552716516,2.5693186267749852,52.10830150306916,0.4232848424826058,657,55.64866336478123,450.0
Polymer,59.51252659315355,1.5008921110605777,21.500022627419995,0.7862309875760369,404,59.64355624510508,450.0
Sulfide,49.954166075255486,1.30660494418519,10.286046577098231,2.6499204839302175,1749,54.48005119491108,450.0
Sulfide,20.191596871220483,2.9357757111551672,42.565994861311964,5.48459436506016,1630,55.858966979482155,450.0
Polymer,114.81482323143952,0.6816375128054026,20.12310918194157,7.42155637247643,618,67.20661391194595,206.94417836550502
Oxide,145.6899149739071,0.7245419202783645,54.505756815490464,6.089530307246527,596,80.41767366172,158.64516319471318
Sulfide,49.15815282705586,0.9464148134055592,52.9523164853328,3.982065764369204,648,69.2546574292815,238.75669233147732
Polymer,106.19613493444491,0.6009962230151532,13.836368596410296,1.2714083227310682,146,77.33375586413688,425.75851569421764
Polymer,116.44652250463297,1.2001602347921412,15.319420270703867,7.829655025383175,761,59.18175510535674,325.0967905736774
Polymer,130.29529928176822,2.741419258270286,34.758579612333314,3.7014819108306654,1554,55.1196045986335,450.0
Oxide,74.94179561176918,1.8845087378228655,40.46113313846773,7.3869347433796175,1426,64.88805246837447,292.7692967528546
